Özgün Değer Rapor	Özgün Değer
"Proje önerisinin amacı, temel olarak mevcut trendlerin devam etmesi durumunda, Türkiye’nin 2023 yılında dünya ekonomisindeki (göreli) konumunu araştırmak, hükümet programında yer alan bir takım hedeflere bu koşullar altında ulaşılıp ulaşılamayacağını analiz etmek olarak belirlenmiştir. Bu amaçla kısa dönemli dinamik stokastik genel denge (DSGE) modelinin çıktılarının bir ekonomik önsel olarak kullanıldığı, uzun dönem bir vektör otoregresyon (VAR) modelinin Bayesçi metotlar ile tahmini planlanmaktadır. Proje önerisinde de belirtildiği gibi literatürde DSGE-VAR modeli uygulamaları mevcuttur. Proje önerisinin özgün değeri, Türkiye ekonomisi için bir uygulamanın olmayışını ortaya koymak olacaktır. Proje, konu olarak, yeni bir konuyu, yöntemi, mevcut bir problemi çözümü araştırmamakla beraber, uygulamada özgün olarak değerlendirilebilir. Bununla birlikte proje önerisi birbirinden farklı ekonomiler için kullanılacak standart bir model yapısı üzerinden yapılacak değerlendirme, temel olarak ""Türkiye ve ekonomik büyüklük olarak onun civarındaki ülkeler mevcut trendleri devam ettirirse birbirlerine görece konumları ne olacaktır"" sorusuna cevap aramaktadır. Bu sorunun cevaplanması için DSGE-VAR metodu ne kadar uygundur sorusunun cevabı mevcut proje önerisinde yeterince vurgulanmamış görünmektedir.    "	3,00
"Proje önerisi, daha önce, sistem dinamiği tabanlı para politikası simulatörü geliştirilmesi amacıyla sunulmuş ve ret edilmiştir. Öneri aynı proje ekibi tarafından proje başlığı ve içeriği değiştirilerek tekrardan sunulmuştur. Revize öneride, önceki raporda yer alan kritiklerin yeterince dikkate alınmadığı hatta, ""varsayımsal"" durum eklenerek çalışmanın daha karmaşık hale getirildiği görülmektedir.Proje önerisinde, muğlak ve eklektik bir sistem dinamiği tanımlanmakta ve geliştirilecek model ile gerçek dünyanın simulasyonunun yapılabileceği iddia edilmektedir. Sistem dinamiğinde kullanılacak değişkenler 5 içsel ve 7 dışsal değişken olarak sınıflandırılmakta ve daha sonra ekonominin mali ve reel sektörleri bu değişkenlerden bağımsız ve birbirleri ile ilintisiz olarak sıralanmaktadır. İçsel değişkenlerin oluşum mekanizmaları hakkında herhangi bir önermede bulunulmadığı gibi, temel odak olan para politikalarına ilişkin değişkenler bu ""model"" önermesinde yer almamaktadır. Proje önerisi, sayıları duruma göre değişen sektörler, içsel ve dışsal değişkenler ile para politikası değişkenlerinin olmadığı ve para politikası aktarım mekanizmasının ifade edilmediği çerçeveleri ""sistem dinamiği"" olarak tanımlayıp, bu çerçevede modelleme, simulasyon vb. katkılar önermektedir. Proje önerisinde kullanılacağı belirtilen yöntem, öneri metninde yeterli netlikte anlatılmamıştır. Halen sistem dinamiği modelinde hangi denklemlerin kullanılacağı ve bunların arkasındaki teorik altyapı ele alınmamıştır. Bu haliyle önerilen yöntemin geçerliliği, yapılabilirliği ve araştırmaya uygunluğu net değildir.Sonuç olarak, projede yer alan model, yöntem ve yaklaşımın bilimsel olarak yeterli olmadığı değerlendirilmektedir. "	1,00
Projenin temel amacı Türkiye'de eğitim uyuşmazlığının boyutlarını araştırmak ve eğitim uyuşmazlığının ücretler üzerindeki etkisini Türkiye genelinde ve endüstri, meslek grubu ve bölge seviyesinde ortaya koymak ve eğitim uyuşmazlığının parasal maliyetini hesaplamaktır. Proje önerisi TÜİK Hanehalkı İşgücü Anketleri’nin 2009-2012 verilerini 15-65 yaş aralığında sadece çalışan bireyler için derleyip, bu veriyi ILO tarafından yapılmış Uluslararası Standart Meslek Sınıflandırması ile ilişkilendirmiştir. İlk planda veri setinden değişik eğitim seviyeleri için ham eğitim uyuşmazlığının boyutları, sorunun önemini belgelemek için, Tablo 1’de sunulmuştur. Buradan görüldüğü üzere, eğitim uyuşmazlığı beklendiği üzere daha çok fazla eğitim olarak kendini göstermektedir. Proje önerisi geri kalan analizlerle bu tablodaki ham sonuçları meslek grupları bazında, birçok demografik ve bölgesel karakteristiği kontrol eden ekonometrik yöntemlerle amaca uygun hale getirmeyi planlamaktadır. Eğitim uyuşmazlığının ücretler üzerindeki etkisinin, fazla ve eksik eğitimin etkileri ayrıştırılarak tahmin edilmesi öngörülmektedir. Bunun için kullanılacak ekonometrik yöntem ise, alan yazınında sıklıkla kullanılan Duncan-Hoffman (DH) ve Verdugo-Verdugo (VV) modelleridir. Bu iki yöntem temelde aynı soruyu yanıtlamayı hedeflemektedir. Son olarak da eğitim uyuşmazlığından kaynaklı atıl kapasite ve verimlilik düşüşlerinden kaynaklanan parasal maliyetler hesaplanması planlanmaktadır.Eğitim uyuşmazlığı konusunun ve getirdiği maliyetlerin ulusal yazında yeterince çalışılmamış olması proje önerisinde belirtilmiştir. Ancak, bu alanda Türkiye'de daha önce yapılmış bir çalışma bulunmaktadır (bk. Filiztekin [2011]). Proje önerisinde Türkiye'de bu alanda yapılmış çalışmalara referans verilmeli ve proje önerisinin bu çalışmalardan farkı açıkça ortaya konmalıdır.Proje önerisinde de belirtildiği gibi bu alan uluslararası yazında yoğun olarak incelenmiştir. Proje, eğitim uyuşmazlığı olgusunun ölçümünde yeni bir yöntem sunmamakta, yazında var olan yöntemleri kullanmaktadır. Dolayısıyla, projenin özgün değeri Türkiye örneği olması ile sınırlıdır. Öte yandan, projenin beceri uyuşmazlığı yerine eğitim uyuşmazlığını temel alması ve eğitim uyuşmazlığı üzerinden verimlilik kaybı hesaplaması, gelir kayıplarını olduğundan fazla gösterme riskini doğurmakta ve bu da projeden elde edilebilecek sonuçların güvenilirliğini azaltmaktadır. Öneride belirtildiği gibi göz önüne alınmayan bir yetenek değişkeni vardır. Eğitim uyuşmazlığı konusunda bu değişkenin rolü iyice önemli hale gelmektedir. Proje önerisindeki maliyet hesabı, yetenek değişkeninin önemli olmadığı varsayımı altında yapılmaktadır. Projede örnek olarak verilen hesapta, üniversite derecesine sahip bir çalışanın ilkokul eğitimi gerektiren bir işi yapıyor olmasının yarattığı verimlilik kaybı, üniversite derecesine sahip ve üniversite eğitimi gerektiren bir işi yapan kişiyle kıyaslanarak bulunmaktadır ki bu hesabın doğru olabilmesi için bu iki kişinin aynı yeteneğe sahip olması gerekir. Bu da oldukça iddialı bir varsayımdır. Eğitim uyuşmazlığının etkileri ölçülürken tam zamanlı ücretli çalışan grubu kullanılmaktadır. Buradaki önemli bir sıkıntı, ücret dışı çalışmanın Türkiye’de yaygın bir çalışma biçimi oluşudur. Ücretli çalışmayı seçenlerin eğitim uyuşmazlığı açısından ücret dışı çalışanlardan farklılaşması ve ücretli çalışma kararının bu uyuşmazlıkla belirlenme riski, hesaplanan katsayılarda yanlılığa yol açacaktır. Yaygın etkinin daha kuvvetli olması ve gerek işgücü ve gerekse eğitim politikalarında girdi oluşturabilmesi için problemin statik sonuçlarından çok var olma sebepleri ve çözümüne yönelik önerilerin ele alınması gereklidir. Örneğin, bu uyuşmazlık eğitim kaynaklı ise politikaların bu yönde şekillendirilmesi gerekecektir. Uyuşmazlığın kaynağının bilinmesi hesaplanan verimlilik kaybının ne anlama geldiğinin yorumlanmasında da önemli olacaktır.Son olarak yurtdışı araştırmacı olarak projede yer alması beklenen Yiğit Aydede’nin, özgeçmişinde görüldüğü üzere, ‘Educational Mismatch in Turkey,’ isimli bir çalışma 2012 yılında International Finance, Business, and Insurance adlı konferansta sunulmuştur.  Proje önerisinin bu bildiriden nasıl farklılaştığı detaylandırılmamıştır. Bu da projenin özgün değerini düşürmektedir. Referans: Filiztekin, A.(2011) Education-Occupation Mismatch in Turkish Labor Market. Sabancı University Working Paper 	1,80
Son yıllarda ülke bazında finansal piyasalarda gözlenen genişleme sürecinin uluslararası ölçekte bahse konu piyasalar arasında bağlantı ve etkileşimi de beslediği görülmüştür. Aynı zamanda, finansal piyasalar ile reel ekonomi arasındaki bağlantı ve etkileşim de giderek artmıştır. Sonuçta, her bir kesimde yaşanan şokların diğerine ve sınır ötesine geçişinin hız ve şiddeti önemli derecede yükselmiştir. Ekonomik aktörlerin nazarında finansal istikrarın birincil öncelik halini aldığı günümüzde, sistemik risk konusu, tabii olarak, bütün kesimlerin ilgisini çekmektedir. Proje önerisi, ekonomilerin mali ve reel sektörleri arasındaki bağlanmışlığın yapısını ulusal ve küresel boyutta araştırmayı amaç edinmiştir. Finansal ve reel piyasalar arasındaki bağlanmışlığın analitik bir yaklaşımla incelenmesi, krizlerin oluşmasını ve yayılmasını engelleme yolunda politikalar geliştirilmesine ve dolayısıyla krizlerin sosyal maliyetlerinin azaltılmasına katkıda bulunabilecektir. Proje önerisi, literatürde yer edinmiş bir yaklaşımın yeni bir bakış açısı yaratacak biçimde geliştirilmesine dayanmaktadır.  Önerilen çalışma ülkelerin mali ve reel sektörleri arasındaki bağlanmışlığı aynı model içerisinde analiz etmeye olanak tanıyacaktır. Projenin başarı ile tamamlanması durumunda literatüre önemli katkılar sağlaması beklenmektedir. 	4,80
"Proje önerisinin temel amacı, Türkiye’de organik süt talep tahminini, sosyo-demografik ve ekonomik faktörleri göz önünde bulundurarak on iki bölgeden seçilen on dört ilde yaklaşık ideal talep sistemi yöntemi ile kapsamlı bir şekilde ortaya koymaktır. Proje konusunun alt amaçları ise; organik süt ile organik olmayan diğer süt çeşitleri arasında ikame ilişkisini ortaya koymak, organik süt tüketimini etkileyen faktörleri belirlemek, organik süt tüketim bilincini ölçmek ve organik süt tüketim grubunu belirlemektir. Önerilen proje Türkiye’de organik süt talebini analiz edecek ilk araştırma olacaktır. Çalışma, Türkiye’de önemi giderek artan organik ürünlere olan talebin analizi konusundaki boşluğu doldurmaya katkı sağlayabilecek potansiyele ve özgün değere sahiptir. Diğer yandan, Türkiye'de toplam süt tüketimi içerisinde sadece %0.1 civarında pazar payı olan organik süt tüketicilerine ulaşma ve yeterli gözlem sayısını elde etmede yaşanabilecek güçlükler projenin özgün değerini kısmen sınırlandırmaktadır."	4,00
Önerilen proje insanlarda bloklama etkilerinin nörofizyolojik izdüşümlerine odaklanmaktadır. İnsan deneklerde bloklama etkisinin çalışılmasında karşılaşılan güçlükler ve bu güçlüklerin aşılması için geliştirilen deneysel paradigmalar detaylı bir şekilde ele alınmıştır. Önerilen projenin özgün değeri bloklama etkisinin insan deneklerde nöral ve göz izleri bakımından yeterince irdelenmemiş olduğu savına dayanmaktadır. Önerilen çalışma kapsamında yapılacak 4 deney bloklama sürecinin nöral ve oküler izdüşümlerini ayrı ayrı incelemeyi hedeflemektedir. Yapılacak ek iki çalışma ile gözlemsel öğrenme (deneye katılan bir kişinin videosunu izlerken) ve ekolojik uyarıcı içeren durumlar da incelenerek bloklama etkisinin sosyal ve ekolojik açılardan da irdelenmesi planlanmaktadır. Ancak, aşağıda belirtilen birtakım sınırlılıkların projenin özgün değerini zayıflattığı düşünülmektedir. Bu hususlar şu şekildedir:Projenin ana teması olan insanda bloklama etkilerinin altında yatan bilişsel ve nörobiyolojik süreçlerin neler olduğu sorusunun yanıtlanmasının insan beyninin çalışmasının anlaşılmasına nasıl bir katkı vereceği öneride açık değildir. Proje içinde öğrenme süreçleriyle ilgili bilgi verilmiş olmakla birlikte, öğrenme süreçlerine ilişkin hangi eksikliklerin tamamlanacağı ve bunun nasıl bir yöntemle inceleneceği belirsizdir.Projenin ekolojik değeri düşük olarak değerlendirilmiştir. İncelenecek süreçlerin insanın gündelik yaşamıyla veya karşılaştığı hastalık/sorunlarla ilişkisi sınırlıdır. Yöntem içinde ekolojik uyaranlar kullanılacak olmasının bu durumu nasıl etkileyeceği anlaşılamamaktadır.Projede bir görüntüleme yöntemi (fonksiyonel yakın kızıl ötesi görüntüleme=fNIRS) ve göz hareketlerinin izlenmesi (eye-tracking) önerilmektedir. Göz hareketlerinin izlenmesi  ve fNIRS yönteminin nasıl özgün bir katkı sağlayacağı doğru ve net bir şekilde hipotezlendirilmemiştir. Nörogörüntüleme yöntemleriyle yapılmış bazı ilgili çalışmaların proje metninde tartışılmamış olması (ör. Tobler vd. (2005)'in yaptığı fMRI çalışması be Eippert vd.(2012)'nin fMRI ve göz izleme çalışması gibi), önerilen projenin özgün değerini kısıtlamaktadır. fMRI'ın, fNIR gibi hemodinamik hareketleri izleyen bir yöntem olması, projenin bu yöntemle yapılmış çalışmalara dayanarak fNIR yöntemiyle gözlenmesi muhtemel etkiler hakkında somut hipotezler sunmalarına yardımcı olabileceği düşünülmüştür.  Eippert, F., Gamer, M., & Büchel, C. (2012). Neurobiological mechanisms underlying the blocking effect in aversive learning. The Journal of Neuroscience, 32(38), 13164-13176.Tobler, P. N., O’Doherty, J. P., Dolan, R. J., & Schultz, W. (2006). Human neural learning depends on reward prediction errors in the blocking paradigm. Journal of neurophysiology, 95(1), 301-310.	1,80
"Önerilen projede fNIR optik beyin görüntüleme yönteminin Türk popülasyonuna uyarlanmış ve sınanmış bir batarya kullanılarak güvenilirlik-geçerliğinin tespit edilmesi amaçlanmaktadır. fNIR gibi beyin görüntüleme teknolojilerinden elde edilen bilgilerin güvenilirliğinin ve geçerliliğinin sınanması bu cihazları kullanan araştırmacılar için kuşkusuz büyük önem taşımaktadır. Bu bakımdan önerilen projenin literatüre katkı yapma potansiyeli bulunmaktadır.Ancak mevcut önerinin literatürdeki benzer geçerleme çalışmalarından nasıl farklılaştığı, kullanılacak testlerin bu amaç için uygunluğu ve geçerlilik kriteri olarak psikolojik durumlarla beyin hareketleri arasında ne düzeyde bir tutarlılık gözlenmesinin beklendiği proje önerisinde yeterince açıklanmamıştır. fNIR üzerine yapılan geçerleme çalışmalarına kaynaklarda yer verilmekle beraber, literatür kısmında bu çalışmaların kullandığı yöntemler, ulaştığı sonuçlar ve önerilen yönteme göre eksiklikleri tartışılmamıştır. Örneğin Schecklman vd. (2008)'in çalışmasında benzer bir desen kullanılarak verbal fluency testi bağlamında fNIR için bir geçerleme analizi yapılmıştır. Bu çalışmada kullanılan görevin ve önerilen yöntemin ne gibi avantajları olacağı tartışılmamıştır. Aynı durum geçerleme için kanallar arası intraclass korelasyon katsayısının kullanıldığı Plichta vd. (2006; 2007) çalışmaları için de geçerlidir. Bu çalışmalarda geçerleme için proje önerisinde önerilen yöntem kullanılmamış olmakla beraber, öneride bir karşılaştırma veya tartışmanın yapılmamış olması önerilen çalışmanın özgün değerinin değerlendirilmesini zorlaştırmıştır. Ayrıca, proje kapsamında DLPFC işlevlerini ölçmeye yönelik geçerlik ve güvenirliği Türk örneklemlerinde araştırılmış nöropsikolojik testler kullanılacağı belirtilmiştir. DLPFC'nin dikkat etme, davranışları uygun bir şekilde değiştirebilme, mantık yürütme ve muhakeme etme, karmaşık problemleri çözebilme, uzun süreli belleği aktive etme, motor programları oluşturabilme, strateji kurma ve değiştirebilme, moral kararlar verme, çalışma belleği, aldatma ve yalan söyleme gibi işlevlerle ilişkili olduğuna dair kanıtlar vardır. Bütün bu DLPFC işlevlerini ölçmeye çalışmaktansa, bu işlevlerden bir tanesinin derinlemesine incelemesinin uygun olacağı düşünülmektedir. Bu şekilde bir fonksiyonun DLPFC bağıntısı ve bunun fNIR ile ölçülmesinin özgün değeri kuvvetlendireceği düşünülmüştür."	2,40
Önerilen proje duygusal içerikli çeşitli uyaranların kültürümüze uyarlanmasını ve norm çalışmalarının yapılmasını hedeflemektedir. Ancak, çalışmanın kuramsal temelinin oluşturulması konusunda çelişkili öneriler bulunmaktadır. Örneğin, yüz ifadelerini yapacak olan tiyatrocu katılımcılara Ekman ve Friesen’ın 1978 kodlama sistemini anlatan bir el kitabının verilmesi onları doğrudan yönlendirmek ve potansiyel kültürel farkları baskılamak, engellemek anlamına gelecektir. Geçerlik ölçütü olarak “FACE Reader”ın kullanılması da yine benzer şekilde ülkemiz kültürüne uyarlanması amacıyla çelişmektedir. Ayrıca, proje kapsamında uyarlanan fotoğraflar ve kelimeler kültürümüze uygun olarak seçilirken film setinde neden yabancı filmlere yer verildiğinin gerekçesi sunulmamıştır. Çalışmanın temel çıkış noktasını oluşturan norm çalışmasının gerekliliğini ortaya çıkaran  deneysel bir çalışma ile zenginleştirilerek, projenin ar-ge boyutunun kuvvetlendirilmesi özgün değer açısından önem taşımaktadır.	2,67
Önerilen proje bağlanma kuramının bilişsel süreçlerle ilişkisinin nöropsikolojik temellerini araştırmayı hedeflemektedir.  Hedeflerden biri yetişkin kişilerde bağlanmayı ölçen testlerin kişisel farklılıklarının ne ölçüde nöropsikolojik tepkilere yol açtığını ölçmektir. Buna dayalı olarak, hedeflenen ikinci araştırma ise, bilişsel işlevlerin bağlanmadaki kişisel farklılıkları ne ölçüde tahmin edebileceği üzerinedir. Son olarak da, bu araştırmaları yürütebilmek için yeni bir yazılım ve yöntem kullanılarak yeni bir ölçme modeli geliştirilecektir. Araştırmanın ilk iki hedefi psikolojide birbirinden ayrı tutulan iki alanı (sosyal psikoloji ve bilişsel psikoloji) birleştirmesi bakımından değerlidir. Ancak, önerilen projenin hipotezlerinin açık bir şekilde sunulmamış olması önemli bir eksiklik olarak değerlendirilmiştir. Örneğin, öneride dikkat yanlılığı görevine bakılırken kaygılı yetişkinlerin kaçınmacı yetişkinlere göre nasıl bir dikkat farklılığının beklendiği açık değildir. Bu durumun hangi nörobiyolojik bulgularla ilişkili olduğunun açıklanması gerekmektedir. Aynı sorunlar diğer bilişsel süreçler için de geçerlidir. Proje önerisinde incelenmesi amaçlanan her bilişsel sürecin yetişkin bağlanmasına nasıl etki edeceğinin beklendiği açıkça hipotezlendirilmelidir.  	3,00
Çeşitli nedenler ile (ekonomik, politik vb.) farklı ülke ya da yerleşim bölgelerine göç eden ya da o bölgelerden sürgün edilen insanların karşılaştıkları sorunlar hem bireysel hem de toplumsal boyutta derin etkilere sahiptir. Önerilen projede, iki kez sürgün yaşamış 60 yaş üstü Ahıska Türklerinin psikolojik örüntülerinin incelenmesi hedeflenmiştir. Özellikle sürgüne zorlanan bu toplumun deneyimlerinin nitel yöntemlerle irdelenecek olması ve video kayıtlarıyla bir arşiv çalışmasına dönüştürülecek olması önemlidir.Ancak araştırmanın özgün değerini düşüren sorunlar tespit edilmiştir. Bu hususlar şu şekildedir:Projede hem sürgüne maruz kalma hem de ileri yaş yetişkinlik döneminin bir arada incelenecek olması bir takım karışıklıklara sebep olmaktadır. Projenin mevcut yöntemiyle ölçülecek psikolojik semptomların sürgün sebebiyle mi yoksa ileri yaşın kendine özgü kırılganlıkları sebebiyle mi ortaya çıktığı anlaşılamayacaktır. Bu durum araştırmanın amaçlarına ulaşmasını engelleyecektir.Ayrıca proje önerisinde Ahıskalı Türklerin 1944 ve 1989 yıllarında gerçekleşen iki sürgün deneyimi yaşadıkları belirtilmiştir. İlk sürgün deneyiminin üzerinden 70 yıl, ikincisi üzerinden 25 yıl geçmiştir. Dolayısıyla, örneklemi “ uzak geçmiş” zamanda sürgüne maruz kalmış olan ileri yaş yetişkinler oluşturmaktadır. Bu bağlamda söz konusu örneklemle sürgünün yaşlılık dönemindeki etkilerini incelemek mümkün gözükmemektedir.Araştırma önerisinin boylamsal desenlenmesi yöntemsel bir özgünlük olarak belirtilmiştir. Ancak bu çalışma için boylamsal veri toplamanın neden gerekli olduğu konusunda yeterli bilgi verilmemesi projenin özgün değerini zayıflatmaktadır. 	2,83
Önerilen proje, yeterince bilimsel çalışmanın olmadığı ve özellikle Türkiye'de varolan durumun yeterince bilinmediği bir alanda geliştirilmiştir. Bu nedenle, çalışmanın bulguları adalet sistemini de ilgilendiren mahkumiyet kararı alınan babaların ve geride bıraktıkları eş ve çocuklarına yönelik alınması gereken tedbir kararlarına da ışık tutması açısından önemlidir. Çalışmanın nicel ve nitel yöntemleri benimsemesi de olumlu bulunmuştur. Çalışmanın alana önemli bir katkı sağlayacağı düşünülmektedir. Öte yandan, mevcut araştırmadaki aşağıda ayrıntılarıyla ele alınan bazı temel yöntemsel eksikliklerin araştırmanın özgün değerini düşürmektedir. 	3,00
"Proje konusu güncel ve önemli bir konudur. ""Hac ve Umre Psikolojisinin Dindarlık Üzerine Etkisi"" hususunda İlahiyat alanında bu modelde bir çalışma yapılmamıştır. Bu açıdan, proje olarak önerilen ve araştırılmak istenen bu çalışma, hac ve umre ibadetinin dindarlık ve dini duyarlılık konusunda katkı sağlayıcı nitelikte özgün bir çalışma olarak kabul edilebilir.  "	4,40
Proje konusu, güncel ve önemlidir. Alanda şimdiye kadar bu ölçekte kapsamlı bir çalışma yapılmamıştır. Bu açıdan, proje önerisiyle araştırılmak istenilen konularda yapılacak bu çalışma, alanında özgün bir çalışma olabilir. İslam'ın hayvan hakları konusunda getirmiş olduğu değer ve normların farklı açılardan incelenmesi, hem İslam toplumu hem de diğer toplumlar açısından önemlidir. Ancak, proje önerisinde ilgili literatür değerlendirmesi yeterli düzeyde sunulmamıştır. Bu yüzden, öneride konunun özgünlüğü açık bir şekilde ortaya konulamamıştır. Ayrıca, bu konuda Şii dünyasında kaleme alınan esere nazaran ne kadar özgün katkı sağlandığının belirtilmesi önemli olacaktır.   	3,80
"Önerilen proje, Türkiye'de çocuk istismar ve ihmalinin sıklığını saptamaya yönelik olarak geniş bir örneklem grubuna ulaşmayı hedeflemesi, bu doğrultuda uluslararası geçerliğe sahip bir ölçme aracını kullanmayı öngörmesi ve bu aracı Türkçe'ye kazandıracak olması bakımlarından özgün değere sahiptir.Önerinin, özgün değerini etkileyen şu konularda sınırlılıkları bulunduğu düşünülmektedir:Projenin literatür özeti bölümünde bu konuya ilişkin bireysel, aileye ve topluma ilişkin risk faktörleri sıralanmıştır. Benzer şekilde koruyucu faktörlerde yazılmıştır. Ancak bu faktörler literatürü özetlemek şeklinde değil sadece madde madde belirtilmiştir. Dolayısıyla hangi faktörün hangi bilimsel çalışma sonucunda (örn. katılımcılar, yaş grubu, hangi ülke) elde edildiği hakkında herhangi bir bilgi yoktur.Çocuk istismar ve ihmalinin ortaya çıktığı sosyodemografik koşullar ve birey üzerindeki etkileri düşünüldüğünde istismar mağduru pek çok kişinin üniversite eğitimi alma olanağı bulamaması ihtimali yüksektir. Ulaşılması hedeflenen örneklem grubu geniş olmakla birlikte üniversite öğrencileriyle sınırlı olması, Türkiye'de çocuk istismar ve ihmalinin sıklığıyla ilgili verinin de sınırlı kalmasına neden olmaktadır.Araştırmanın amaçlarından birisi ülkemizde istismara yol açabilen sosyal risk etmenlerinin saptanması olarak belirlenmiştir. Ancak, istismar ve ihmale neden olabilecek risk etmenlerinin sosyodemografik özelliklerle sınırlı tutulduğu; bireysel özellikler (örn. mizaç), aile ve sosyal çevredeki tutum ve davranışlar (örn. ebeveyn tutumları, sosyal destek kaynakları) gibi değişkenlere yer verilmediği görülmektedir.İstismar ve ihmalin psikolojik etkilerinin değerlendirilmesinde depresyon ve genel ruh sağlığı durumunu ölçen araçlar kullanılmakta; ilişkili olabilecek benlik algısı, öz-saygı, akademik başarı, bağlanma biçimleri gibi bireysel değişkenler ele alınmamaktadır. Veri toplamak için uyarlaması yapılarak kullanılacak olan ICAST-R Çocuk İstismarı Tarama Ölçeği'nin, daha önce ülkemizde uyarlaması yapılarak benzer şekilde çocukluktaki  duygusal, fiziksel ve cinsel kötüye kullanım ile fiziksel ve duygusal ihmali değerlendiren Çocukluk Çağı Örselenme Yaşantıları Ölçeği (ÇÖYÖ) ya da Çocukluk Çağı Travmaları Ölçeği'nden farklı olarak nasıl katkıda bulanacağı açık değildir."	2,50
Önerilen proje kapsamında, deneyimlenen travmatik olayların neden olduğu değişimlerin şiddetinin ve türünün, travmatik anının otobiyografik belleğe entegrasyonunun ve travma sonrası gözlemlenen psikolojik bozuklukların görülme olasılığı ile ilişkisinin araştırılması amaçlanmaktadır. Öneride, TIS Ölçeği geliştirilerek Türkçeye adapte edilmesi ve bu ölçek aracılığıyla iki deney yürütülmesi planlanmaktadır. Proje konusunun mevcut literatürdeki yeri belirtilmiş ve gerekli yazın taramasıyla desteklenerek, hipotezler açıkça sunulmuştur. Önerilen proje kapsamında, anı entegrasyonunun direkt olarak TSSB tanısı almış hastalarla da ölçülecek olması çalışmanın özgün değerini ve literatüre potansiyel katkısını artırmaktadır. 	4,00
Proje özgün değer açısından zengin bir projedir. Öncelikle, üzerine odaklanılan konu hem kuramsal hem de uygulama açısından önemli bir konudur. Önerilen projede, ergenlerin akademik başarısını ve psikolojik iyilik hallerini etkileyebilecek etkenler olarak kişi, bağlam ve zamana bağlı değişkenlerin bir arada ele alınması öğrenci başarısını etkileyen faktörlerin daha iyi anlaşılmasına katkı sağlayacaktır. Ayrıca, üniversiteye giriş sınavının son derece rekabetçi olduğu ve uzun, stresli bir hazırlık sürecini gerektirdiği ülkemizde, önerinin lise öğrencilerinin deneyimlerine ışık tutma, anne-baba ve öğretmenlere rehberlik etme potansiyeli bulunmaktadır.	4,83
Araştırma, kolektivist kültürel yapıyı temsil eden Türkiye'de yaşayan kadınların bireyci toplumlarda kullanılan başa çıkma stillerinden farklı başa çıkma stilleri kullanıp kullanmadıklarını belirleme bakımından önemlidir ve literatüre katkı sağlayıcı niteliktedir. Araştırmada bir ölçme aracının uyarlanarak alana kazandırılacak olması projenin özgün değerini artırmaktadır. Çalışmanın bu yönüyle kültüre duyarlı psikolojik yardım hizmetlerinin geliştirilmesine de katkı sağlayabileceği düşünülmektedir. Araştırmacıların önceki panellerde eksikliği dile getirilen kadına yönelik şiddet literatürünü eklemesi çalışmanın özgün değerini artırmaktadır. Ayrıca, araştırmada Kolektif Başa Çıkma Tarzları Ölçeğinin Türk kültürüne kazandırılacak olması proje önerisinin diğer önemli katkısıdır. 	4,25
Proje önerisi, duygusal zekâ, kişilik özellikleri, bireysel kültürel değerler, finansal okuryazarlık ve risk alma gibi faktörlerin yatırımcıların riskli yatırım davranışları üzerinde etkisini incelemeyi amaçlamaktadır. Bu amaca, anket yoluyla toplanacak olan veriyi ekonometrik olarak analiz ederek ulaşılması planlanmaktadır.Çalışmanın özgün değerinin riskli yatırımları belirleyen faktörlerin bir arada analiz edilmesinden kaynaklandığı ifade edilmektedir. Anket yoluyla yapılacak olan çalışmanın riskli yatırım tercihlerinin olası tüm değişkenler için kontrol etmeye çalışması anlaşılır bir yaklaşım olmakla beraber, önerinin hedefindeki bağımsız değişkenlerin ölçümü kendi başına zorluklar taşımaktadır. Bu değişkenlerin ölçümü konusunda proje önerisinde bazı ipuçları olsa da kullanılan ölçeklerin ulusal yazında yer alıp almadığı, almıyorsa uluslararası ölçeklerin ne ölçüde Türkiye bağlamında kullanılabileceğinden söz edilmemektedir. Proje önerisi revize bir öneri olup önceki panel raporunda, “birbirleriyle yakından alakalı birçok faktörün tek bir modelde toplanarak, her birinin bireylerin riske karşı tutumlarına ve riskli yatırım davranışları üzerine etkilerinin belirlenebileceğine dair somut bir yöntemin proje önerisinde bulunmaması çalışmanın özgün değerini düşürmektedir” ifadesi dile getirilmişti. Revize edilen öneride ise belirtilen kaygıyı yok edecek veya azaltacak herhangi somut bir öneri bulunmamaktadır.   Bu nedenlerle proje önerisinin özgün değeri sınırlı bulunmuştur.	2,40
