Yöntem Rapor	Yöntem
"Çalışma etnografik araştırma yöntemi ile derinlemesine görüşme ve hayat hikayesi araştırma teknikleri kullanılarak gerçekleştirilecektir. Açıklanan yöntem ve teknikler amaçlanan hedeflere ulaşmada uygundur. Bunlarla ilerleme kaydedilememesi durumunda risk yönetim tablosu (B Planı) projede öngörülen hedeflere ulaşmaya uygundur. Proje önerisinde ifade edilen, kadın istihdamında esnekliğin boyutlarını ortaya koymaya yönelik haritalandırma çalışması önemlidir; ancak var olan iş ve aile yaşamını uyumlaştırma politikalarının envanterini başka çalışmalarda bulmak mümkündür. Projede Bakanlıklarla ilgili yapılacak görüşmelerin niteliğinin belirlenmesi ve ilgili Bakanlıkların hangi alandaki proje ve politikalarına etki edilmek istendiğinin netleştirilmesi gerekmektedir. Projenin sonunda yapılacak çalıştayın hangi kurumlarla yapılacağının başlangıçta belirtilmesinde fayda görülmektedir. "	4
Türkiye Sosyoekonomik Statü Endeksi Araştırması isimli bu projenin nicel yöntemler kullanılarak yürütüleceği ifade edilmektedir. Nicel yöntemlerin içerdiği araçlar/teknikler kullanılarak yapılacak araştırmanın, aşamalı bir model üzere yürütüleceği anlaşılmaktadır. Birbiri üzerine bina edilmiş her biri kendi başına anlamlı veriler ve araçlar üreten dört aşamada gerçekleştirilecek araştırmada kullanılacağı ifade edilen yöntem ve teknikler, ilgili literatüre atıfta bulunarak belirgin bir şekilde açıklanmıştır. Önerilen projede belirlenen yöntem ve tekniklerle ilerleme kaydedilememesi durumunda bir B planı da öngörülmüştür. B Planına göre örneklem almada yaşanabilecek olası riskler karşısında, örneklemin TÜİK'ten alınması yoluyla sorunun aşılacağı ifade edilmektedir. Bu durumda, TÜİK ile birebir çalışılarak belirlenen parametreler uygun ve uygulanabilir şekilde bir örneklemin oluşturulması hedeflenmektedir. Önerilen B Planı, projede öngörülen amaçlara ve hedeflere ulaşma konusunda uygundur.	5
"Araştırma önerisinde ""yapısal işlevselci"" bir teorik çerçeveden yararlanacağı ifade edilmiş ama ne bu teorik yaklaşımın neden seçildiği açıklanmış ne de bunun çalışmada nasıl işler kılınacağına dair izahatta bulunulmuştur. Teorik çerçevenin zayıflığı araştırmanın elde edebileceği sonuçları derinlikli ve bütünlüklü bir şekilde, bir sorunsal etrafında değerlendirebilmesini zorlaştırabilir.Araştırmanın hem betimleyici hem de analitik bir yol takip edeceği belirtilmektedir. Önerilen yöntem Mersin'deki yerel siyasi değişim dinamikleri hakkında bize bir ""tasvir"" sunabilir. Fakat proje önerisinde iddia edilen ""analitik"" niteliği gösterebilmesi için Mersin'den elde edilen bu sonuçların genel olarak ülke ölçeğinde ne anlama geldiğinin analiz edilebileceği bir tarihsel ve teorik çerçeveye sahip olunması gerekir. Proje önerisi böyle bir çerçeveye sahip değildir.Yöntemle alakalı çeşitli belirsizlikler ve sorunlar olmakla birlikte en dikkat çekici olanı, iki örnekleme tekniğinin kullanılacağının belirtildiği bölümdür. Önce tesadüfi örnekleme teknikleri içinde yer alan tabakalı (zümrelere göre) örnekleme tekniğinin kullanılacağı belirtilmekte ve sonra da tesadüfi olmayan kota örnekleme tekniğine başvurulacağı belirtilmektedir. Ayrıca, bir kaç defa tekrarlanan ""bazı hipotezlerin ise alışılagelmişin tam tersi olduğu gerçeği test edilecektir"" ifadesi anlaşılmamaktadır: ""alışılagelmişin tam tersi olduğu"" bir ""gerçek"" ise bu nasıl ve neden ""test edilecektir""? Yöntem kısmında belirtilmesi gereken hipotezler özgün değer kısmında belirtilmiştir. Ancak bu hipotezlerin büyük bir kısmı, bir hipotezin sahip olması gereken mantıki çerçeve içinde değerlendirilemez. Örneğin, ""Kırda yaşayan bireylerin çocuk sayısı ile sağ söyleme sahip siyasi partilere oy verme eğilimleri arasında doğrusal yönde bir ilişki vardır: Kırda yaşayan bireylerin çocuk sayısı arttıkça sağ söyleme sahip siyasi partilere oy verme eğilimi artmaktadır"". Yine verilen hipotezlerin bazıları birbirinin tekrarı olup, bu hipotezlerin Türkiye ile mi Batı toplumlarıyla mı yoksa Mersinle mi ilgili açıklanmamış, adeta evrensel argümanlar gibi sunulmuştur. Öneriden, Anket sorularının araştırmacı tarafından hazırlanacak olduğu anlaşılmaktadır. Bu durumda likert tarzı ölçek geliştirilecektir. Çünkü araştırmacı likert tipi sorulardan oluşacak anketten bahsetmektedir. Oysa ölçek geliştirmenin ve geçerlilik ve güvenilirliğinin nasıl sağlanacağının araştırmanın yönteminde belirtilmediği görülmektedir. Bu noktada önerilen projenin yöntemi eksik bulunmuştur. Hipotezlerdeki ilişkilerin yönü belirtilmemiştir. Ayrıca kullanılacak anketin içeriğinin ne olacağı ve ankette yöneltilecek soruların neler olacağı detaylı sunulmamıştır. B planı açık değildir. Ayrıca proje önerisinde birkaç kez tekrarlanan ""Kozal analiz"" anlaşılamamıştır.Söz konusu araştırma, nicel veri gerektiren özelliği yanında, seçmen davranışlarının altında yatan sosyal, politik ve ekonomik nedenlerin/ardılların ortaya konulması özellikle de algı ve tutum gibi sosyo-psikolojik tahlil gerektiren verilere ihtiyaç duyulacak olması nitel araştırma yöntemlerinde de yararlanmayı zorunlu kılmaktadır.Yöntemlerden biri (anket) ayrıntılı bir şekilde açıklandığı halde, diğerleri yeterince açıklanmamış (örneğin, ""belge taraması""nın ne olduğu, hangi belgelerin inceleneceği ve bu incelemenin nasıl yapılacağı vs.), ayrıca bu farklı yöntemlerin birbirlerini nasıl tamamladıkları açıkça izah edilmemiştir. "	1
"Projenin önerdiği metodolojik yaklaşımın, proje amacına uygun bir biçimde dizayn edildiği, ancak, araştırmacıların, ""yeni dindarlık ve muhafazakarlık olgularının, tüketim toplumu ile ilişkiler kurarken kendisini, diğer toplumsal gruplardan ve tüketim alışkanlıklarından ayırt edici kılacak hangi pratikleri eyleme geçirdiği üzerine yoğunlaşacağı"" argümanı nedeniyle, bu dizaynın, içerdiği sorunlara duyarlık göstermesi beklenmelidir. Ayrıca yönteme ilişkin bazı belirsizlikler de dikkati çekmektedir. Yöntem bölümünden anlaşıldığı kadarıyla araştırmaya önce anket yaparak başlanacak ve anket yoluyla toplanılan veriler, nitel araştırma yöntemleri kullanılarak desteklenecektir. Mantıken önce nitel araştırmayla başlamak daha uygundur. Anketten elde edilen verileri nitel araştırmayla doğrulamak yerine nitel verilerden gelen bilgilere göre anket tasarlamak ve nitel araştırmayla bulunan bulguların genellemesini denemek yöntemsel açıdan daha güvenilirdir. Anket uygulama ve pilot uygulamalar konusunda bir karışıklık görünmektedir. Projenin konusu ve sorunsalı çok geniş tutulduğu için kuramsal olarak odaklanma ve yöntemsel olarak operasyonelleştirme problemi ortaya çıkmaktadır. İzmir ve Antalya'nın muhazafakar oldukları için araştırmaya dahil edilmiş olduğu belirtilmektedir. Oysa bu iller daha liberal yaşam tarzlarıyla öne çıkmaktadır. Farklılaşan bu özellikleriyle bu gibi kentlerin örneklemde yer almaları da daha zengin veri toplanmasına ve karşılaştırmaya katkı sağlayacaktır. "	2
Projenin özgün değerinin yetersiz bulunması nedeniyle, bu kriterle ilgili değerlendirme rapora yansıtılmamıştır.	1
Zara’nın köy sayısının 134 olduğu göz önünde bulundurulduğunda köy örnekleminin 15-20 arasında olmasının yeterli olacağı değerlendirilmiştir. Ayrı ayrı üç başlık altında ele alınan ve ayrı ayrı uygulanacağı ifade edilen anketlerin tek anket olarak uygulanması gerektiği anlayışı benimsenmiştir. Köy örneklemine göre görüşme yapılacak örneklem sayısının yeniden hesaplanması gerekmektedir. Muhtarlarla yapılacak mülakat sayısının yeni köy örneklemi çerçevesinde yeniden hesaplanmasıProjede örneklemin belirlenmesi noktasında ele alınan örnekleme yöntemi projenin kapsadığı alana uygulanabilecek bir yöntem olmasına karşın formülde kullanılan p:İncelenen olayın görülüş sıklığı (gerçekleşme olasılığı)            q:İncelenen olayın görülmeyiş sıklığı (gerçekleşmeme olasılığı)yanlış alınmış olup örneklemenin yeniden yapılması, hesaplama hatasının ortadan kaldırılması gerekmektedir. Ayrıca örnekleme yönteminde hedef kitledeki birey sayısının bilinmediği durumlarda uygulanabilecek yöntem uygulanmıştır. Oysa Zara ilçesi 65 yaş üstü nüfus bilinmekte yalnızca köylere dağılımı bilinmemektedir. Dolayısıyla aşağıdaki yöntemin uygulanması doğrudur.  Hedef kitledeki birey sayısı biliniyorsa n= N t2pq / d2 (N-1) + t2pq	4
"Araştırma önerisinde nitel yöntem kullanılacağı belirtilmiş, kategoriler hakkında bir bilgi verilmemiştir. Tamamen keşfe dayanan şekilde başarılı iş kadınlarının söylemlerinden hareketle kategorilerin belirleneceği anlaşılmaktadır. Dolayısıyla alanda hiç çalışılmamış bir konu gibi olguya yaklaşılmaktadır. Oysa ülkemizde bu alanda yapılmış birçok çalışma ve bunlarda belirlenen kategoriler vardır. Araştırmanın evreni belirtilmiş, bu evrenden ""başarılı"" bulunanlar kurullar yoluyla belirlenip, örneklem oluşturulacağı ifade edilmiştir. Başarı ile ilişkili nesnel ve öznel göstergeler belirlenip, buna uyan örneklem sayısının verilmesi uygun olurdu. Daha önceki başvurusunda ayrıntılandırılmış örneklem yer alırken bu başvuruda bu örneklemin neden bulunmadığı anlaşılamamıştır. Kadınların güçlendirilmesi başlığı altında oldukça dağınık ve sistematize olmayan bir önerinin sunulduğu gözlenmektedir. Güçlendirme alanlarının aile, kişiler arası ilişkiler, kurumlarla ilişkiler vs. gibi açık bir şekilde belirlenmesi uygun olur. Özetle proje önerisi bilimsel bir zeminden ziyade kadınların konumlarının ne olduğunu belirlemeyi amaçlayan temel basamakta bir çalışma olarak değerlendirilmiştir.  "	2
"Proje kapsamında 11 farklı ilde toplam 3100 kişi ile yüz yüze görüşme yöntemi kullanılarak anket çalışması yapılacaktır. Araştırmada araştırıcıların kendilerinin geliştirdikleri algı ölçeği kullanılacaktır. Bu nedenle araştırıcılar tarafından geliştirilen ölçeklerin ön pilot araştırma ile güvenilirlikleri ölçülmüştür. Ölçek geliştirmenin farklı süreçleri bulunmaktadır. Proje önerisinde bu süreçlerde eksiklikler dikkati çekmektedir. Örneğin bu öntestin kaç kişi üzerinde yapıldığı, faktör analizi ve doğrulayıcı faktör analizi ile yapı geçerliliği ve güvenilirliğinin nasıl sağlandığı yöntemde belirtilmemiştir. Hipotezlerdeki ilişkilerin yönü belirtilmiş olmasına karşılık hipotezlerde sadece ilişki vurgulanmış, etkiden söz edilmemiştir. Bu durum elde edilen verilerin sadece korelasyon analizleriyle araştırılacağını düşündürmektedir. Oysa bu çalışmadan elde edilecek bulguların, regresyon analizleri, t testleriyle de analize tabi tutulması, konunun önemi açısından gerekli görülmektedir.Araştırmada kullanılacak örneklem türü ""amaçlı örneklem"" olarak belirtilmektedir. Bu örnekleme türünde araştırmacı, amacına en uygun olan kişileri örnekleme içerisine alır. Burada araştırmacıya aşırı bir inisiyatif verilmiş olunur. Bu tür bir araştırmada farklı illerden insanların araştırma amacı doğrultusunda seçilmesi (üstelik 3100 kişi) oldukça yanlı, verimli olmayan bir örneklemi ortaya çıkarabilecektir. Dolayısıyla anket söz konusu olduğunda tesadüfi örnekleme tekniklerinden birine başvurulmasının yararlı olacağı düşünülmektedir. Araştırmada Suriyeli sığınmacılarla yerel halkın karşılaşma ve temaslarının algının oluşumundaki önemli olabileceği teslim edilmiştir. Fakat bu deneyimlerin aktarımı ve bunun toplumsal algının şekillenmesinde oynadığı rol daha çok nitel yöntemlerin kullanımıyla açığa çıkarılabilir.Araştırmacı revize ettiği önerisinde Suriye sınırındaki iller dışında bir de karşılaştırma yapabilmek amacıyla bu sınıra uzak bir yerde araştırma yapmayı öngörmektedir. Böyle bir karşılaştırma şüphesiz anlamlı sonuçlar doğurabilir. Fakat araştırmacı hangi sorunun cevabını aramak ve hangi bağlam içerisine yerleştirmek amacıyla böyle bir karşılaştırma yapmak istediğini yeterince açıklamış değildir. "	3
Projede nitel veri toplama teknik ve araçları ile analiz yöntemlerinin nasıl kullanılacağı ayrıntılı bir şekilde açıklanmıştır. Hangi kentlerde görüşmeler yapılacağı ve buralarda hangi gruplarla görüşülerek nasıl veri elde edileceği belirtilmiştir. Görüşmelerde kullanılacak sorulara yer verilmiştir. Ancak, daha ayrıntılı ve daha daraltılmış sorular geliştirilerek araştırmanın amacı ile yöntemi arasında uyumun sağlanması yerinde olacaktır.  Ek olarak yurtdışında yapılan bayi toplantıları veya gezilere de katılımın sağlanmasının, araştırmanın ampirik içeriğini daha da zenginleştireceği düşünülmektedir. 	4
Projenin özgün değerinin yetersiz bulunması nedeniyle, bu kriterle ilgili değerlendirme rapora yansıtılmamıştır.	1
