Özgün Deðer Rapor;Özgün Deðer
Projenin temel özgün deðeri, döviz kuru öngörüsünde kullanýlmak üzere melez bir yöntem geliþtirilmesidir. Araþtýrmacýlar da projenin özgün deðerinin döviz kuru tahmini için yeni bir yöntem kullanýlmasýndan kaynakladýðýný belirtmektedirler. Bununla beraber, projede kullanýlan yöntem çerçevesi, proje önerisinde de belirtildiði üzere, daha önce finansal zaman serileri analizlerinde ve tahminlerinde kullanýlmaktadýr. Ayrýca, döviz kuru tahmini için geliþtirilen ve projede belirtilen melez yöntemlerle paralellik taþýyan yöntemlerin literatüre katkýsý çok sýnýrlý kalmaktadýr. Bu açýdan projenin özgün deðeri net deðildir.;2,40
"Proje önerisi, ülkemizde çok çalýþýlmamýþ olan, ancak dünyada son dönemde önemi giderek artan ""açýk inovasyon"" kavramýný Ýstanbul Sanayi Odasýna kayýtlý en büyük 1000 firma örneðinde analiz etmeyi hedeflemektedir. Türkiye'de faaliyet gösteren firmalarýn açýk inovasyon süreçlerine katýlýmýný, diðer firmalardan bilgi alma ve onlara bilgi verme süreçlerini, bu süreçlerin hangi araçlar aracýlýðý ile gerçekleþtiðini ve dýþsal bilgi alma/paylaþma araçlarýnýn yenilik ve üretkenlik üzerine etkisini incelemeyi amaçlamaktadýr. Ülkemizde inovasyon iþbirliði konusunda çalýþmalar olmakla birlikte, bu iþbirliði sürecinin, firmalar arasý öðrenme/öðretme ve bilgi paylaþýmý kanallarýnýn Türkiye özelinde derinlemesine bir analizinin eksikliði hissedilmekte ve eldeki projenin bu eksikliði kapatma yönünde bir adým oluþturacaðý anlaþýlmaktadýr. Konunun önemi ve güncelliði göz önüne alýndýðýnda, bu konuda uluslararasý yazýnda da önemli açýklar olduðu ve güncel çalýþmalarýn artarak devam edeceði de söylenebilir.Açýk inovasyonun etkinliðinin sektör bazýnda deðerlendirilmesi de projenin amaçlarý arasýndadýr. Çalýþma çerçevesinde Türk imalat sanayi firmalarýnda açýk inovasyon türlerinin saptanmaya çalýþýlacak olmasý da anlamlý bir katký yapma potansiyeline sahiptir. Açýk inovasyonun özellikle derinliði ve geniþliðinin paydaþ türü ve sayýsý üzerinden ortaya konacak olmasý da yazýna katký yapacaktýr.  Önceki proje önerisinin muðlaklýklarý giderilmiþ ve hedefler ile bunlara ulaþýrken izlenecek yol daha net ortaya konmuþtur. Öte yandan, proje özetinde ifade edilen ""sanayileþmenin derinleþmesi ve yaygýnlaþmasý konusunda farklý bir bakýþ açýsý ve strateji getirmesi"" ifadesi projenin bütünü ve özgün deðer bölümü incelendiðinde muðlak kalmaktadýr. Ayrýca politika ve strateji geliþtirme yönünde projenin yaratabileceði özgün deðer vurgusu zayýf kalmaktadýr. Ulusal politika dokümanlarý (UBTYS 2011-2016, UBTYS 2011-2016 eylem planý, BTYK kararlarý ve kalkýnma planý) ile bir takým baðlantýlarýn kurulmasý beklenmektedir. ";4,60
"Proje önerisi, Yeni Keynezyen DSGE-VAR modelinin Bayesyen tekniklerle tahmini yöntemini kullanarak Türkiye’nin 2023 için hedeflenen kiþi baþý 25 bin dolar seviyesine ulaþýp ulaþamayacaðýný deðerlendirmeyi amaçlamaktadýr. Her ne kadar Türkiye ekonomisinin 10 senelik performansýný öngörmek çok önemli bir hedef olsa da, projenin önerilen kýsa dönem odaklý yöntemle bunu yapabileceði þüphelidir. Kýsa dönemli hareketlerin açýklanmasýnda kullanýlan bir modelin uzun dönemli projeksiyon için nasýl kullanýlacaðý açýk deðildir. Bu modelin uzun dönemli projeksiyon ve tahmin için kullanýlmasýyla literatüre katký saðlanacaðý belirtilmiþtir fakat modelin projeksiyon amaçlý nasýl kullanýlacaðý yeterli þekilde açýklanmadýðý için özgün deðer kýsýtlý görünmektedir. Proje önerisinde tartýþýlmýþ olmasa da DSGE modellerinin Bayesyen yöntemlerle tahminini kullanarak Türkiye ekonomisine dair analizler yapan birçok çalýþma mevcuttur (Örneðin; Yüksel (2013), Taþtan (2013), Çebi (2011), Alp ve Elekdað (2011)). Bu projenin katkýsý sadece bu yöntemlerle VAR analizini birleþtiren Del Negro ve Schorfhiede (2004) DSGE-VAR tekniðini kullanmak olacaktýr. Bu tekniðin DSGE’nin sade Bayesyen yöntemlerle simülasyonuyla ve sade Bayesyen VAR (BVAR) tahminleriyle karþýlaþtýrmasýný yapan Christoffel, Coenen, ve Warne (2013) çalýþmasý BVAR tahminlerinin genel olarak daha baþarýlý olduðunu, DSGE-VAR tekniðinin sadece kýsa dönemde düz DSGE yöntemlere üstünlük saðladýðýný göstermektedir. Dolayýsýyla DSGE-VAR metodolojisinin kullanýlmasýnýn da çalýþmanýn sonuçlarýna yüksek bir katký saðlamasý beklenmemektedir. ";3,00
Proje önerisi, çokça iþlenmiþ bir konu olan pazarlýk sürecini, öncesindeki üretim sürecini farklý þekillerde içselleþtirerek üretimin pazarlýk üzerindeki etkisini ele almaktadýr. Proje önerisinde üretim süreçlerinde taraflarýn yapacaðý katkýnýn pazarlýða tabi olduðu ve ek olarak bu katkýnýn içsel olarak seçilebileceði durumlar incelenmektedir. Bu tip pazarlýk ve çýktýyý paylaþým süreçlerinin klasik, üretim tarafýnýn düþünülmediði pazarlýk süreçlerinden nasýl farklýlaþacaðýnýn iki farklý deney kullanarak gözlemlenmesi planlanmýþtýr. Üretim sürecindeki katkýnýn da pazarlýkla belirlendiði bir deneysel kurgu, ekonomik hayattaki üretim süreçlerinin ne kadar adil olduðuna iliþkin yeni bulgular ortaya koymaya adaydýr. Proje sonucunda ortaya çýkmasý muhtemel verilerin üretim aþamasý sonucunda elde edilen ürünün bölüþümü amacýyla yapýlan pazarlýklarýn yapýsýný anlayabilmek için önemli olacaðý düþünülmektedir. Fakat proje önerisinde bahsedilen Giritligil ve Karagözoðlu çalýþmasýyla bu proje önerisinin farklýlýklarýnýn belirtilmemiþ olmasý özgün deðeri deðerlendirmeyi güçleþtirmektedir. ;4,20
Proje önerisinde 2003 yýlýndan itibaren çek yasasýnda yapýlan deðiþikliklerin karþýlýksýz çek sayýsý üzerinde anlamlý bir etkiye neden olup olmadýðýnýn araþtýrýlmasý planlanmaktadýr. Bu amaçla TCMB elektronik veri daðýtým sisteminden 2008-2014 dönemi için aylýk olarak elde edilen karþýlýksýz çek sayýsýnda herhangi bir yapýsal kýrýlmanýn olup olmadýðý, herhangi bir kýrýlmaya rastlanmasý durumunda ise çeþitli makroekonomik deðiþkenlerin bu kýrýlmayý açýklama gücü olup olmadýðýnýn ortaya konmasý hedeflenmektedir.Önerinin hukuk ve uygulamalý iktisat alanlarýný bir araya getiren disiplinler arasý bir çalýþma olmasý, literatürde veri sýkýntýsý nedeniyle örneklerine pek rastlanmayan doðal deney etkisini analiz ediyor olmasý ve ilgili konuda daha önce çalýþma yapýlmamýþ olmasý proje önerisini özgün kýlmaktadýr. Projenin, araþtýrma sorusunun özgünlüðü dikkate alýndýðýnda, politika yapýcýlara yol gösterici önerilerde bulunma potansiyeli yüksektir. Çek verisindeki deðiþimler açýklanýrken çeklerin ileri tarihli yazýlmasýnýn ve kanun deðiþikliðinin önceden duyulmasýnýn göz önüne alýnmasý, buna uygun bir þekilde verideki kýrýlmanýn kanun deðiþikliði olmadan önce meydana gelmeye baþlayýp baþlamadýðýnýn sýnanmasý çalýþmanýn önemini ortaya koymaktadýr. Bunun ötesinde, böylesi bir deðiþikliðin ticari hayata doðrudan etkisi olduðu açýktýr. Gündelik hayata etkisi olan bir deðiþikliðin net etkisinin istatistikî yöntemler kullanýlarak ölçülmesi, çalýþmanýn özgün deðerini arttýrmaktadýr.;4,40
"Proje önerisi amacýný, mali devalüasyonun dýþ ticaret etkilerini ampirik olarak incelemek olarak ortaya koymaktadýr. Bu amaç çerçevesinde öneride, son dönemde mali devalüasyonun sýklýkla konu edildiði Portekiz, Ýspanya ve Yunanistan için, içerisine mali devalüasyonu temsil ettiði düþünülen deðiþkenlerin de (sosyal güvenlik primleri, KDV) eklendiði çekim modeli uygulamasý yapýlmasý öngörülmektedir. Proje önerisi, mali devalüasyonun ticaret üzerine etkisini bir çekim modeli çerçevesinde inceleyen bir çalýþma olacaðýndan dolayý bir özgün deðer taþýdýðý söylenebilir. Bununla birlikte, önceki baþvuru panel raporunda da belirtildiði gibi, çekim modelleri literatürde son derece standartlaþmýþ modellerdir ve bu modellerin uygulamasýný gerçekleþtiren bir çalýþmanýn özgünlüðü, temel olarak sorduðu sorunun ilginçliði ve metodun soru ile olan uyumuna baðlýdýr.Bu açýdan proje önerisinin mevcut bilim ve teknolojideki herhangi bir eksikliði ve/veya problemi ortaya koymasý açýsýndan yeterli olduðunu söylemek mümkün deðildir. Mali devalüasyon literatüründe de belirtildiði üzere, bu sürecin ticarette rekabeti güçlendirebilmesinin ve çekim modellerindeki GSYÝH üzerinde bir etkisinin olabilmesi için vergi tabanýnýn geniþleyebilmesi gibi bazý koþul ve varsayýmlarýn üzerinde durulmasý gerekmektedir. Mevcut öneri  bunlara yeterince deðinmemektedir. Dolayýsýyla proje önerisinin çekim modeli çerçevesinde mali devalüasyonu kullanmasý yeni bir yöntem gibi görünse de yöntemin ""sorun çözücü"" yaklaþýmý tartýþmalýdýr. Proje önerisinde de belirtildiði gibi, literatürde benzer sorularýn genel denge modelleri ile analiz edilmesinin ardýnda yatan nedenlerden biri, bir politika þoku olarak mali devalüasyonun tekil ülke ve çoklu ülke ortamýnda fiyat/karþýlýklý dýþ ticaret iliþkileri, hane halký tepkisi vs. etkilerini de göz önünde bulundurarak incelenmesidir. Önerilen çekim modelleri çerçevesinin, bu karmaþýk iliþkileri ne kadar göz önünde bulundurabileceði tartýþmalýdýr.        Son olarak proje ekibinin, ampirik model tasarýmýnda çekim modelini teorik çerçeve olarak kullanmýþ olduðu iddiasýný tekrar gözden geçirmesi beklenebilir: Uluslararasý ticaret yazýnýnda çekim modelleri ampirik ""araç"" olarak genel kabul görüyorken, modelin teorik çerçeve olduðundan söz etmenin ve bunu özgün deðer olarak ortaya koymanýn sakýncalarý olduðu düþünülmektedir.  ";2,17
Proje önerisi, Türkiye’de finansal geliþmiþlik ile büyüme ve büyümenin kaynaklarý olan sermaye birikimi ve verimlilik arasýndaki iliþkiyi makroekonomik istikrarsýzlýðý da hesaba katarak incelemeyi amaçlamaktadýr. Öneri, hem Türkiye’de hem de dünyadaki birçok ülke için çalýþýlmýþ bir konuyu ele almasýna raðmen, iki bakýmdan özgün deðer yakalamaya çalýþmýþtýr: i) finansal geliþmiþlik ve makroekonomik istikrarsýzlýk endeksleri geliþtirerek finansal geliþme-büyüme ekseninde istikrarsýzlýk sebebiyle oluþabilecek deðiþimleri de analiz edecek olmasý ii) finansal geliþmiþliðin sermaye birikimi ve verimlilik üzerine etkilerini de içeren ve büyüme (üretim) fonksiyonundan hareket eden bir analiz yapmasýdýr. Bu anlamda önerilen projenin yeterli bir özgün deðerinin olduðu düþünülmektedir.;3,25
Proje önerisi, Türkiye’de ekonomi politikasýnýn þekillenmesi açýsýndan önemli bir konuyu ele almaktadýr. Ýlk olarak döviz kurlarý, faiz oranlarý arasýnda oynaklýk geçiþlerinin incelenmesi hedeflenmiþtir. Ardýndan meydana gelen ve gelebilecek þoklarýn döviz kuru ve faiz oynaklýðý üzerine etkisi, son olarak da þoklardan kaynaklanan oynaklýðýn batýk kredilere etkisinin ortaya konmasý planlanmýþtýr.Projenin getirdiði üç aþamalý analiz, Türkiye ekonomisi için önem taþýyan bir konuyu incelemesi açýsýndan özgün deðer taþýmaktadýr. Özellikle faiz ve döviz kuru oynaklýklarýnýn batýk krediler üzerindeki etkisinin ölçülmesi ekonomi politikasý açýsýndan önem taþýmaktadýr. Bu projenin ele aldýðý konular Türkiye ekonomisi çerçevesinde daha önceden incelenmemiþtir. Bu nedenle de özgün deðer taþýdýðý düþünülmektedir.;4,20
Proje önerisinde niyetin belirlenebilme olasýlýðý ile güven arasýndaki iliþkinin deneysel olarak test edilebilmesi için gönüllü ve gönüllü olmadan güven oyunlarýnýn birleþtirilmesi sonucu ortaya çýkan bir oyunun kullanýlmasý planlanmýþtýr. Literatürde genel olarak güven kukla deðiþken olarak modellenmiþ ve güven ve karþýlýklýlýk arasýndaki iliþkiye bakýlmýþtýr. Proje önerisinde güvenin sürekli bir deðiþken olarak modellenmesi sonucu karþý tarafýn niyetinin tam olarak anlaþýlamamasýnýn yaratacaðý etkinin ölçülmesi planlanmýþtýr. Bu açýdan literatüre katký özgündür, ancak yapýlacak katkýnýn büyüklüðü ve önemi tartýþmaya açýktýr. Projenin hipotezi 0 ve 1 arasýnda olasýlýklar deðiþirken monoton bir iliþki görülmesidir. Monoton bir iliþki görülmeyecek olursa bunun neden olduðu konusunda herhangi bir hipotez bulunmamaktadýr. Bu durumda deðiþik p deðerlerinin etkisini incelemenin neden önemli olduðu çok açýk deðildir.Bu deney tasarýmýnda birinci oyuncunun ikinci oyuncunun rasyonel olmadýðýna güvenmesi gerekmektedir. Literatürde proje önerisinde belirtilen konjonktürlerin benzerleri farklý oyunlarda test edilmiþtir. Ýyi niyet ve güvenin karþýlýklýlýk çerçevesinde ödüllendirildiði, farklý oyunlarda gösterilmiþtir. Bu projenin katkýsý bu iliþkinin monoton olduðunu göstermesi olacaktýr. Ancak bu monoton artan iliþkiyi belirleyebilmek için deneklere bir olasýlýk tahmininde bulunmalarý ve bu olasýlýðýn deðiþmesi durumunda hareketlerinin deðiþip deðiþmeyeceðinin sorulmasý, denekleri bu olasýlýðýn önemli olduðu ve kararlarýnda etkili olmasý gerektiði konusunda þartlandýrmaktadýr. Ek olarak bu olasýlýk deðerinin denekler tarafýndan rastgele seçilip seçilmediðinin nasýl anlaþýlabileceði konusunda proje önerisinde bir öngörü bulunmamaktadýr.Bireylerin karþý tarafýn rasyonel olduklarýna güvenmesinin tek SPNE olduðu durumlarda bile deneklerin %50’den fazlasýnýn karþý tarafýn rasyonel olduðuna güvenmediði görülmüþtür (Goeree ve Holt, 2001). Bu tasarýmda da en az %50 deneðin karþý tarafýn rasyonel olmadýðýna güvenmemesi beklenebilir. Bu durum beklenen tiplerin ayrýþtýrýlmasýnda problemle karþýlaþýlmasýna ve inceleme yapýlacak tiplerin sayýsýnýn çok az olmasýna sebebiyet verebilir.Özetle yöntemsel kaygýlar sebebiyle projenin özgün deðerinin deðerlendirilmesi güçleþmektedir.;3,25
"Proje önerisinin amacý, 1980'li yýllardan itibaren Türkiye imalat sanayiinde uygulanan yatýrým teþviklerinin sektörel büyüme, istihdam ve ihracat hedeflerine ulaþmada baþarýsýnýn deneysel analizinin yapýlmasýdýr. Bu konuyla ilgili 2005 yýlýna kadar verileri kapsayan farklý bir çalýþma bulunmakla birlikte, verilerin 2009 yýlýna kadar güncellenmesi ile özgünlük yakalanabilir. Ancak Türkiye ekonomisi için farklý teþvik kategorileri üzerinden teþviklerin etkilerini inceleyen çalýþmalar genel olarak literatürün vardýðý seviyeye paralel olarak bölge/sektör ve /veya firma düzeyinde veri kullanmaktadýr (Betcherman, Daysal ve Pagés (2010)).Dolayýsý ile çalýþmaya önemli bir alt-yapý oluþturabilecek firma/sektör/bölge düzeyinde veri derlemesi düþünülebilecek iken sektör düzeyinde veri ile sýnýrlý kalýnma tercihi, çalýþmanýn özgün deðerinin önemli ölçüde kaybýna yol açmaktadýr. Yatýrým teþvik sisteminin sektörler kadar bölgesel düzeyde bir ayrýþtýrma üzerinden yürüyen bir politika olmasý ve bu konudaki verilerin varlýðý, çalýþmanýn tasarýmýnýn detaylý olarak gerçekleþtirilmediði izlenimini vermektedir.    Özgün deðer kýsmýnda yer alan ""Þimdiye kadar yapýlan çalýþmalarýn ekonometrik analiz içermediði"" ifadesi gerçeði yansýtmamaktadýr; literatürde hem makro (Yavan, 2011) hem de mikro (Balsarý ve Üçdoðruk, 2008) çalýþmalara rastlanmaktadýr.Sonuç olarak proje önerisinin, en azýndan Türkiye’de ve Türkiye ekonomisi için yapýlan çalýþmalara kýyasla özgün deðeri oldukça kýsýtlýdýr. Önerinin ilk halinin özgünlüðü ile ilgili yapýlan eleþtiriler halen geçerlidir. Mevcut literatürdeki çalýþmalardan farký ile ilgili yapýlan açýklamalar projenin özgün deðerini artýrmak için yeterli bulunmamýþtýr. ";2,83
Proje, Türkiye'de henüz derinlemesine ele alýnmamýþ bir konuya deðinmektedir. Özellikle yaratýcý endüstri gibi kesintisiz büyüyen bir sektörün yerel düzeyde insan kaynaklarýyla iliþkisini sorgulamaktadýr. Çalýþma, yaratýcý sýnýf kavramýný ön plana almakta, Ýzmir kenti örneðinde yaratýcý sýnýfý buraya çekebilmek ve böylelikle de kentin ekonomik geliþme ve cazibesini arttýrmayý hedeflemektedir. Ancak, bir kentin yaratýcý kent niteliði taþýyýp taþýmadýðýný oradaki yaratýcý sýnýfýn varlýðý ya da algýlarý kadar, ulusal düzeydeki ekonomi, konut ve kentleþme politikalarý belirlemektedir. Bu hususlarý göz ardý eden bir çalýþmanýn eksik kalacaðý düþünülmektedir. Bununla birlikte, proje önerisinde geliþtirilmesi öngörülen ölçekle ilgili teorik ve yöntemsel sorunlar dikkat çekmektedir. Bütün bu hususlar araþtýrmanýn özgün deðerini zayýflatmaktadýr. ;3,00
"Balkan ülkelerinde Türkiye’de üretilen televizyon dizilerinin etkileri üzeri bir çalýþma kültürlerarasý iletiþim çalýþmalarý açýsýndan önemlidir. Ancak proje önerisinin özgün deðeri aþaðýda belirtilen hususlar çerçevesinde yetersiz bulunmuþtur.Öncelikle proje önerisinin sorunsallaþtýrýlmasý eklektik, tutarsýz ve bulanýktýr. Proje önerisinde hangi konunun hangi temel soruyla irdeleneceði net deðildir. Konu ve kapsam bilimsel olarak normatif betimlemeler içermekte, kavramsallaþtýrma düzeyinde bu normlar somut referanslarla açýklanmamaktadýr. Örneðin çalýþmanýn ""özgün deðer"" kýsmýnda hipotezler ifade edilirken ""Türk dizilerinin yayýnlandýðý Balkan ülkelerinde Türk algýsý olumlu yönde deðiþmiþtir"" denilmektedir. Ancak burada ""olumlu"" kavramý baþlý baþýna normatiftir ve bilimsel bir yaklaþýmla ""kimin için olumlu, olumluyu tanýmlayan ölçütler nelerdir?"" sorularýný da beraberinde getirmektedir. Ayrýca ‘Türk Algýsý’ kavramsallaþtýrmasýnýn nasýl tanýmlandýðý ve nasýl ölçüleceði meselesinin bilimsel olarak açýklanmasý gerekmektedir.Öneride belirtilen alt hipotezlerin her biri bir baþka çalýþma evreni tanýmlamaktadýr. Bu anlamda temel hipotezle alt hipotezler arasýnda bir uyumsuzluk bulunmaktadýr. Ana hipotezde dizilerin Türk algýsýný olumlu yönde deðiþtirdiði tespitini sýnamak doðrultusunda insanlarýn algýlarýný nasýl etkilediði konusuna odaklanýlýrken alt hipotezlerde; “Türk dizilerinin yayýnlandýðý Balkan ülkelerinde çok izlenmesi, Türk dizilerinin uluslararasý pazarda daha iyi pazar bulmasýna yol açmýþtýr” ya da “Balkan ülkelerinde Türk dizilerini izleyen insanlar, Türk markalarýný ve ürünlerini satýn almak istemektedir” ifadeleriyle dizilerin tüketim alýþkanlýklarý üzerindeki etkisini ön plana çýkaran bir boyut eklenmiþtir. Oysaki proje önerisinde özgün deðerin Balkan ülkelerinde yayýnlanan Türk dizilerinin Türk algýsýndaki deðiþim ve dönüþüme olan etkilerini ortaya çýkarma potansiyelinden kaynaklandýðý iddia edilmektedir. Kuramsal çerçeve, iç tutarsýzlýklar barýndýrmaktadýr. Birbiriyle uyum içerisinde olmayacak farklý bilgi gövdeleri ayný anda sunulmaktadýr. Bu durum projenin hem yöntem hem de saha çalýþmasý tasarýmýný doðrudan etkilemektedir. Proje önerisinde Balkan ülkelerine Türkiye ve Türkçeye karþý artan ilginin Türk dizilerinin etkisiyle olduðu iddiasýndan hareket edilmektedir. Tüm bu iddialarýn gazete ve ajans haberleri yerine bilimsel referanslarla desteklenmesi gerekmektedir. Televizyon dizilerinin algý yaratýmý, kültürel etkileþimler vb. üzerinde etkisi vardýr. Ancak algý yaratým sürecinin merkezine sadece televizyon dizileri koyularak tarihsel, siyasi, ekonomik baðlam göz ardý edilmiþtir. Sosyo-politik ve ekonomik baðlamý oluþturmak için, Balkan ülkeleri ve Türkiye iliþkilerine ait mevcut literatürün bu çerçevede gözden geçirilmesi gerekmektedir.Literatür özeti bölümünde projenin doðrudan çalýþma konu ve kapsamýna iliþkin literatür deðerlendirmesi yer almamaktadýr. Sunulan literatür ise, çalýþmanýn konusuyla iliþkili deðildir. Ana akým ve eleþtirel iletiþim kuramlarý yaklaþýmlarýnýn çok genel bir özeti niteliðindedir. Çalýþmanýn konusuna iliþkin dünyada ve Türkiye’deki yapýlan örnek çalýþmalardan yararlanýlmamýþtýr. Ayrýca proje önerisi iliþkili olduðu televizyon dizileri-popüler kültür araþtýrmalarýný kapsayacak literatürden de beslenmelidir. Öneri ele aldýðý evren olarak dizilere iliþkin iletiþim alanýndaki çalýþmalara yönelik literatür deðerlendirmesi sunmamaktadýr. Türkiye’de üretilmiþ hangi dizilere ve nasýl bir yöntemle bakýlacaðý belirtilmemiþtir.""Ýzleyici"" araþtýrmasý olarak tanýmlanan bir araþtýrmanýn neden ""kaný önderlerinin"" fikirleri ile gerçekleþtirildiði gerekçelendirilmemiþtir. Þu hususlarda proje önerisinde sorunlar saptanmýþtýr: ""Kaný önderleri"" izleyici olarak mý tanýmlanmaktadýr yoksa izleyicilerin nabýzlarýný yoklayan kiþiler olarak mý araþtýrma örneklemi içerisinde yer alacaktýr? Medya yoluyla üretilen gerçeklik bir baþka toplumsal iktidara sahip kiþilerin dolayýmýndan geçtikten sonra oluþan algýnýn analiz edilmesi araþtýrma evrenini ne derece temsil edebilecektir? Örneklem olarak Bulgaristan, Yunanistan, Sýrbistan, Makedonya ve Bosna Hersek gibi ülkelerde kaný önderleri ile görüþmeler yapýlmasý öngörülmektedir. Ancak neden bu ülkelerin seçildiði, kaný önderlerinin nasýl belirleneceði, görüþmelerin hangi dilde yapýlacaðý, dil sorunsalýnýn nasýl çözüleceði gibi sorulara açýk bir bilgi verilmesi gereklidir.Bütün bu saptamalar çerçevesinde, proje önerisinin özellikle literatür özeti, kuramsal-kavramsal temelinin ve araþtýrma sorularýnýn sunuluþunun “paradigmatik bir tutarlýlýkla” yeniden gözden geçirerek tasarlanmasý yerinde olacaktýr.  ";1,00
Proje önerisinde, Türkiye'de sýnýrlý literatüre sahip olan yaþ ayrýmcýlýðý konusunun çok yönlü bir þekilde çalýþýlmasý, böyle bir ayrýmcýlýðýn varlýðý ve varsa boyutlarýnýn çeþitli yönlerden incelenmesi amaçlanmaktadýr. Ancak proje önerisinin kapsamý ve yönteminde özgün deðerini anlamlý ölçüde olumsuz etkilediði düþünülen unsurlar mevcuttur. Ar-Ge çalýþmasý kapsamýnda deðerlendirilen çalýþmalarla ilgili olarak güncel literatür bilgisinin kapsamý sýnýrlý olup, bu araþtýrmanýn uluslararasý ve ulusal literatüre katkýsý net açýklanmamýþtýr. Proje önerisinde Türkiye'de yaþlanma ve yaþlýlýk konusuyla ilgili literatür taramasý oldukça kýsýtlýdýr. Türkiye'nin yaþlanma dinamiklerini deðerlendiren güncel ve kaliteli çalýþmalar mutlaka ele alýnmalýdýr. Böylece, projenin ortaya koymayý denediði amaç ve gerekçeler için iyi bir arka plan hazýrlanmýþ olacaktýr.  Proje önerisinde kamu spotu, eðitim ve atölye çalýþmalarý, kýlavuz ve müfredat hazýrlanmasý, Internet çalýþmasý ve yaþlýlarla ilgili bilinçlendirme kampanyasý yapýlmasý planlanmaktadýr. Ancak bu faaliyetler nicel ve nitel çalýþmalardan baðýmsýzdýr ve projede hedeflenen etkileri yaratýp yaratmadýðýna iliþkin herhangi bir araþtýrma çalýþmasý önerilmemiþtir. Önerilen nicel çalýþma ise oldukça dar kapsamlý, kuramsal ve yöntemsel açýdan zayýftýr. Çalýþmanýn kavramsal, kuramsal ve metodolojik yönlerinin ön plana çýkartýlmasý gerekmektedir.;1,83
"Ülkemizde farklý akademik disiplinlerin kavramsal ve kurumsal geliþimi konularýnda yeterince çalýþma yapýlmýþ deðildir. Akademik disiplinlerin geliþmesinde hayati roller oynayan kurumsal, kavramsal ve yöntemsel çalýþmalarýn sayýsý azdýr. Bu yöndeki eksikliði gidermeyi amaçlayan bu proje bir disiplinin arþivini çýkarma ve bu þekilde disiplinin geliþimine katkýda bulunma anlamýnda deðerlidir. Projenin Türkiye'de uluslararasý iliþkiler disiplinin geliþimini inceleyen ilk kapsamlý çalýþmalardan biri olmasý dolayýsýyla özgün deðeri yüksektir.Projenin Türkiye'deki Uluslararasý Ýliþkiler disiplininin kavramsal ve kurumsal geliþimi üzerinde odaklanarak literatüre önemli bir katký saðlayacaðý düþünülmektedir. Disiplinin geliþimine yönelik kapsamlý bir araþtýrmanýn disiplinde çalýþmakta olan ve gelecekte çalýþmayý planlayan akademisyenler ve araþtýrmacýlar için önemli bir referans olma potansiyeli bulunmaktadýr. Zira disiplinde Türkiye'de Soðuk Savaþ ve özellikle sonrasý dönemdeki Uluslararasý Ýliþkiler çalýþmalarý üzerine araþtýrmalar bulunmakta; ancak Soðuk Savaþ öncesi dönem üzerinde kapsamlý çalýþmalar bulunmamaktadýr. Türkiye'deki Uluslararasý Ýliþkiler disiplininin kavramsal ve kurumsal açýdan araþtýrýlmasý, tarihsel akýþ açýsýndan süreklilik ve deðiþim unsurlarýný ortaya koymasý yönüyle anlamlý ve deðerli görülmektedir.";4,20
